EmployeeID,FirstName,LastName,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,EducationLevel,HireDate,EmploymentStatus,ManagerID,BusinessTravel,OverTime
36,Emp36,LN36,60,Nonbinary,Divorced,Engineering,Software Engineer,16459,Bachelor's,2009-06-14,Terminated,40.0,Travel_Frequently,No
37,Emp37,LN37,21,Male,Divorced,Finance,Finance Manager,8163,PhD,2008-12-09,Active,78.0,Travel_Frequently,Yes
38,Emp38,LN38,53,Nonbinary,Divorced,Customer Success,Customer Success Manager,12557,High School,2014-02-06,Terminated,107.0,Travel_Frequently,No
39,Emp39,LN39,32,Male,Married,Finance,Financial Analyst,9276,Master's,2017-09-25,Leave of Absence,86.0,Travel_Frequently,Yes
40,Emp40,LN40,33,Female,Single,Engineering,DevOps Engineer,18542,High School,2009-02-14,Leave of Absence,17.0,Non-Travel,No
41,Emp41,LN41,45,Nonbinary,Divorced,Finance,Finance Manager,5621,PhD,2013-03-31,Active,93.0,Travel_Rarely,No
42,Emp42,LN42,27,Male,Single,Operations,Logistics Coordinator,16275,Associate's,2008-04-19,Active,110.0,Non-Travel,Yes
43,Emp43,LN43,42,Nonbinary,Divorced,Human Resources,Recruiter,9097,Bachelor's,2010-11-15,Terminated,14.0,Travel_Frequently,No
44,Emp44,LN44,55,Male,Divorced,R&D,Principal Researcher,10278,Bachelor's,2005-09-04,Active,92.0,Travel_Rarely,Yes
45,Emp45,LN45,39,Male,Divorced,Engineering,Data Engineer,8544,Master's,2006-12-13,Active,91.0,Travel_Rarely,No
46,Emp46,LN46,22,Female,Divorced,Finance,Finance Manager,19845,Associate's,2014-11-08,Leave of Absence,132.0,Travel_Frequently,No
47,Emp47,LN47,37,Nonbinary,Divorced,Human Resources,Recruiter,13085,Bachelor's,2008-03-30,Leave of Absence,39.0,Travel_Frequently,No
48,Emp48,LN48,32,Nonbinary,Single,Operations,Logistics Coordinator,16704,High School,2007-05-13,Terminated,63.0,Travel_Rarely,Yes
49,Emp49,LN49,26,Nonbinary,Divorced,IT,Network Engineer,16396,Master's,2006-02-27,Leave of Absence,15.0,Travel_Rarely,Yes
50,Emp50,LN50,39,Nonbinary,Married,IT,IT Support,12452,Bachelor's,2015-09-11,Leave of Absence,9.0,Travel_Frequently,No
51,Emp51,LN51,31,Female,Divorced,Finance,Finance Manager,12821,Bachelor's,2015-02-25,Active,97.0,Travel_Rarely,No
52,Emp52,LN52,22,Female,Married,Finance,Accountant,6256,Associate's,2022-02-14,Terminated,23.0,Non-Travel,Yes
53,Emp53,LN53,57,Female,Divorced,Finance,Financial Analyst,6517,Associate's,2006-02-12,Active,44.0,Travel_Frequently,No
54,Emp54,LN54,24,Male,Divorced,Engineering,DevOps Engineer,5487,Master's,2011-06-25,Active,12.0,Non-Travel,No
55,Emp55,LN55,30,Male,Single,Operations,Logistics Coordinator,16864,Associate's,2005-12-08,Terminated,47.0,Non-Travel,Yes
56,Emp56,LN56,37,Nonbinary,Married,Human Resources,Recruiter,4593,Associate's,2019-04-18,Leave of Absence,87.0,Travel_Rarely,No
57,Emp57,LN57,41,Male,Married,IT,Systems Admin,16759,Associate's,2018-09-01,Terminated,49.0,Non-Travel,Yes
58,Emp58,LN58,48,Male,Single,Engineering,Data Engineer,19302,PhD,2020-06-27,Active,123.0,Travel_Rarely,No
59,Emp59,LN59,31,Female,Married,Customer Success,Support Associate,5041,PhD,2008-02-01,Leave of Absence,111.0,Travel_Frequently,No
60,Emp60,LN60,40,Male,Single,Engineering,Data Engineer,14363,High School,2020-06-20,Active,70.0,Travel_Rarely,No
61,Emp61,LN61,58,Female,Divorced,R&D,Research Scientist,16008,Bachelor's,2008-06-16,Terminated,5.0,Travel_Rarely,No
62,Emp62,LN62,38,Nonbinary,Divorced,Engineering,Software Engineer,14037,High School,2013-06-16,Leave of Absence,85.0,Non-Travel,No
63,Emp63,LN63,54,Female,Single,Engineering,DevOps Engineer,15984,Master's,2005-12-11,Leave of Absence,80.0,Non-Travel,Yes
64,Emp64,LN64,36,Male,Married,Operations,Operations Analyst,15061,Associate's,2007-05-04,Terminated,55.0,Travel_Frequently,No
65,Emp65,LN65,35,Male,Divorced,Human Resources,HR Manager,17605,PhD,2012-04-08,Active,24.0,Non-Travel,Yes
66,Emp66,LN66,28,Nonbinary,Married,R&D,Lab Technician,18271,PhD,2013-10-25,Active,34.0,Non-Travel,No
67,Emp67,LN67,27,Nonbinary,Single,Engineering,Data Engineer,8177,High School,2020-10-14,Terminated,92.0,Travel_Frequently,No
68,Emp68,LN68,29,Male,Married,Engineering,Software Engineer,12504,Master's,2005-10-28,Active,144.0,Travel_Rarely,Yes
69,Emp69,LN69,56,Male,Divorced,Human Resources,HR Manager,17376,Associate's,2019-06-02,Terminated,7.0,Travel_Rarely,Yes
70,Emp70,LN70,33,Female,Single,Engineering,Software Engineer,14518,Associate's,2006-08-02,Terminated,68.0,Travel_Frequently,No
71,Emp71,LN71,26,Female,Married,Marketing,Brand Manager,18984,PhD,2018-12-25,Terminated,145.0,Non-Travel,No
72,Emp72,LN72,57,Male,Single,Sales,Sales Representative,8509,PhD,2011-04-19,Leave of Absence,73.0,Travel_Rarely,Yes
73,Emp73,LN73,28,Male,Divorced,Human Resources,HR Specialist,7789,High School,2008-01-07,Active,103.0,Travel_Rarely,Yes
74,Emp74,LN74,37,Nonbinary,Single,Operations,Operations Analyst,10971,Associate's,2010-12-25,Leave of Absence,121.0,Non-Travel,No
75,Emp75,LN75,29,Female,Married,Marketing,SEO Specialist,6809,PhD,2022-01-29,Leave of Absence,31.0,Travel_Frequently,Yes
76,Emp76,LN76,55,Nonbinary,Married,Marketing,Brand Manager,10311,Master's,2014-01-02,Active,50.0,Travel_Frequently,No
77,Emp77,LN77,33,Male,Married,R&D,Research Scientist,18370,Master's,2012-07-29,Terminated,103.0,Travel_Frequently,Yes
78,Emp78,LN78,32,Female,Single,Finance,Accountant,14496,PhD,2007-10-14,Terminated,19.0,Travel_Rarely,Yes
79,Emp79,LN79,58,Male,Single,Human Resources,HR Specialist,6799,PhD,2015-09-04,Terminated,109.0,Travel_Frequently,Yes
80,Emp80,LN80,42,Female,Single,Marketing,SEO Specialist,18489,Master's,2006-08-15,Active,54.0,Non-Travel,Yes
81,Emp81,LN81,60,Female,Married,Sales,Sales Representative,19708,Master's,2007-07-19,Leave of Absence,124.0,Travel_Rarely,Yes
82,Emp82,LN82,23,Nonbinary,Married,R&D,Principal Researcher,7128,PhD,2021-07-30,Leave of Absence,129.0,Travel_Rarely,Yes
83,Emp83,LN83,25,Male,Divorced,Finance,Finance Manager,15344,Bachelor's,2021-09-22,Terminated,40.0,Travel_Rarely,Yes
84,Emp84,LN84,21,Female,Divorced,IT,Systems Admin,19467,High School,2012-04-06,Active,20.0,Travel_Rarely,No
85,Emp85,LN85,28,Female,Divorced,Finance,Finance Manager,11069,PhD,2005-09-21,Terminated,132.0,Travel_Rarely,Yes
86,Emp86,LN86,34,Male,Divorced,Marketing,Brand Manager,6084,Master's,2008-05-03,Active,55.0,Travel_Frequently,No
87,Emp87,LN87,58,Female,Single,Marketing,Marketing Analyst,10981,Bachelor's,2014-07-17,Terminated,105.0,Travel_Rarely,No
88,Emp88,LN88,29,Nonbinary,Married,IT,IT Support,9483,Associate's,2016-01-30,Active,34.0,Travel_Frequently,No
89,Emp89,LN89,54,Male,Divorced,R&D,Principal Researcher,7515,Associate's,2019-05-22,Terminated,18.0,Travel_Frequently,No
90,Emp90,LN90,58,Male,Married,Customer Success,Customer Success Manager,16709,Associate's,2005-12-24,Active,69.0,Travel_Rarely,Yes
91,Emp91,LN91,28,Male,Single,Human Resources,HR Manager,10035,High School,2020-11-19,Leave of Absence,126.0,Non-Travel,Yes
92,Emp92,LN92,51,Male,Divorced,Operations,Logistics Coordinator,16759,High School,2015-06-07,Terminated,10.0,Non-Travel,No
93,Emp93,LN93,43,Nonbinary,Single,Operations,Logistics Coordinator,15824,Bachelor's,2016-01-26,Leave of Absence,44.0,Travel_Rarely,No
94,Emp94,LN94,51,Nonbinary,Single,Operations,Logistics Coordinator,14272,Associate's,2020-11-26,Terminated,10.0,Travel_Frequently,Yes
95,Emp95,LN95,21,Nonbinary,Divorced,Customer Success,Customer Success Manager,10408,Master's,2016-12-22,Terminated,47.0,Travel_Rarely,Yes
96,Emp96,LN96,44,Male,Divorced,R&D,Lab Technician,19058,Bachelor's,2006-11-24,Leave of Absence,26.0,Non-Travel,No
97,Emp97,LN97,41,Male,Single,Operations,Operations Analyst,16585,Bachelor's,2012-07-24,Leave of Absence,89.0,Travel_Rarely,No
98,Emp98,LN98,45,Male,Married,Operations,Operations Analyst,8404,Master's,2014-11-29,Leave of Absence,92.0,Travel_Rarely,Yes
99,Emp99,LN99,44,Male,Divorced,R&D,Lab Technician,18807,Bachelor's,2007-02-28,Terminated,37.0,Travel_Rarely,No
100,Emp100,LN100,51,Male,Divorced,Marketing,SEO Specialist,7621,Master's,2007-04-30,Terminated,116.0,Travel_Rarely,No
101,Emp101,LN101,40,Nonbinary,Married,Finance,Finance Manager,12183,PhD,2016-09-05,Leave of Absence,70.0,Travel_Frequently,No
102,Emp102,LN102,48,Male,Divorced,IT,IT Support,7352,Bachelor's,2011-07-18,Active,85.0,Travel_Rarely,No
103,Emp103,LN103,60,Nonbinary,Divorced,R&D,Lab Technician,5099,Master's,2006-11-24,Active,107.0,Travel_Rarely,Yes
104,Emp104,LN104,57,Female,Divorced,Engineering,Data Engineer,13069,High School,2014-10-02,Terminated,129.0,Travel_Rarely,Yes
105,Emp105,LN105,44,Male,Married,Marketing,SEO Specialist,12338,PhD,2014-04-28,Leave of Absence,124.0,Travel_Frequently,No
106,Emp106,LN106,23,Male,Single,R&D,Lab Technician,19172,PhD,2014-02-18,Active,54.0,Travel_Frequently,Yes
107,Emp107,LN107,40,Female,Single,R&D,Principal Researcher,6245,PhD,2013-07-29,Leave of Absence,127.0,Travel_Rarely,No
108,Emp108,LN108,32,Female,Divorced,Operations,Logistics Coordinator,7842,Master's,2014-04-16,Active,82.0,Travel_Frequently,Yes
109,Emp109,LN109,24,Male,Divorced,Human Resources,Recruiter,6875,High School,2013-06-24,Active,68.0,Non-Travel,Yes
110,Emp110,LN110,21,Male,Single,IT,Network Engineer,10283,PhD,2016-04-28,Active,10.0,Travel_Frequently,Yes
111,Emp111,LN111,21,Male,Divorced,Customer Success,Customer Success Manager,4905,High School,2009-07-21,Leave of Absence,67.0,Non-Travel,Yes
112,Emp112,LN112,25,Male,Married,Marketing,SEO Specialist,5531,Bachelor's,2006-10-06,Terminated,2.0,Non-Travel,No
113,Emp113,LN113,40,Female,Married,IT,Network Engineer,19767,Master's,2010-10-25,Active,87.0,Travel_Frequently,No
114,Emp114,LN114,44,Nonbinary,Married,Customer Success,Customer Success Manager,15958,Bachelor's,2016-06-05,Active,117.0,Travel_Frequently,No
115,Emp115,LN115,43,Nonbinary,Divorced,Customer Success,Customer Success Manager,6725,Bachelor's,2007-04-26,Active,47.0,Travel_Frequently,Yes
116,Emp116,LN116,52,Male,Divorced,Operations,Logistics Coordinator,4947,Bachelor's,2010-04-09,Active,43.0,Travel_Frequently,No
117,Emp117,LN117,46,Nonbinary,Married,Customer Success,Support Associate,18197,High School,2006-10-02,Leave of Absence,114.0,Travel_Rarely,No
118,Emp118,LN118,39,Female,Divorced,Sales,Sales Representative,5152,PhD,2020-05-04,Terminated,92.0,Travel_Frequently,Yes
119,Emp119,LN119,43,Male,Divorced,Marketing,Marketing Analyst,9415,High School,2016-08-31,Terminated,135.0,Non-Travel,Yes
120,Emp120,LN120,38,Nonbinary,Divorced,Marketing,Marketing Analyst,19462,Associate's,2013-11-23,Active,2.0,Travel_Rarely,No
121,Emp121,LN121,47,Male,Married,Marketing,SEO Specialist,8658,PhD,2021-12-14,Leave of Absence,51.0,Travel_Frequently,No
122,Emp122,LN122,56,Female,Divorced,Customer Success,Support Associate,4094,Associate's,2016-05-21,Leave of Absence,70.0,Non-Travel,Yes
123,Emp123,LN123,23,Nonbinary,Divorced,IT,Systems Admin,3971,Bachelor's,2012-12-13,Terminated,121.0,Non-Travel,Yes
124,Emp124,LN124,29,Female,Single,Finance,Finance Manager,18608,Associate's,2020-09-25,Active,17.0,Travel_Frequently,Yes
125,Emp125,LN125,56,Female,Divorced,Customer Success,Support Associate,16741,Bachelor's,2013-07-05,Active,3.0,Non-Travel,No
126,Emp126,LN126,44,Nonbinary,Divorced,Human Resources,Recruiter,19697,Bachelor's,2014-09-10,Active,3.0,Travel_Rarely,No
127,Emp127,LN127,49,Nonbinary,Married,R&D,Principal Researcher,11093,High School,2012-02-23,Leave of Absence,40.0,Non-Travel,No
128,Emp128,LN128,20,Male,Divorced,R&D,Research Scientist,3727,PhD,2020-11-13,Leave of Absence,46.0,Travel_Rarely,No
129,Emp129,LN129,31,Male,Married,Finance,Financial Analyst,3331,High School,2013-03-07,Terminated,99.0,Travel_Frequently,Yes
130,Emp130,LN130,46,Nonbinary,Divorced,Finance,Finance Manager,4347,High School,2013-06-28,Terminated,115.0,Travel_Rarely,No
131,Emp131,LN131,37,Nonbinary,Married,Finance,Finance Manager,6026,Master's,2008-10-26,Terminated,131.0,Travel_Frequently,Yes
132,Emp132,LN132,60,Male,Married,R&D,Principal Researcher,18308,Associate's,2005-09-07,Terminated,79.0,Non-Travel,Yes
133,Emp133,LN133,56,Male,Divorced,Engineering,Software Engineer,19834,PhD,2009-08-29,Leave of Absence,119.0,Travel_Frequently,No
134,Emp134,LN134,45,Female,Married,IT,Systems Admin,14074,Associate's,2020-07-03,Terminated,121.0,Travel_Rarely,Yes
135,Emp135,LN135,43,Nonbinary,Divorced,Engineering,Data Engineer,5702,High School,2017-06-20,Leave of Absence,28.0,Travel_Rarely,Yes
136,Emp136,LN136,58,Female,Single,Marketing,Brand Manager,11875,Associate's,2014-02-21,Leave of Absence,52.0,Non-Travel,No
137,Emp137,LN137,41,Nonbinary,Single,Engineering,DevOps Engineer,16303,Associate's,2018-06-14,Leave of Absence,39.0,Non-Travel,No
138,Emp138,LN138,38,Nonbinary,Divorced,Marketing,SEO Specialist,14762,Associate's,2008-11-08,Leave of Absence,115.0,Travel_Rarely,No
139,Emp139,LN139,33,Male,Divorced,Customer Success,Customer Success Manager,16477,PhD,2011-10-25,Leave of Absence,142.0,Non-Travel,No
140,Emp140,LN140,52,Female,Married,Sales,Sales Executive,4851,High School,2012-07-06,Terminated,58.0,Travel_Frequently,No
141,Emp141,LN141,59,Female,Single,Sales,Account Manager,17871,PhD,2005-07-18,Active,16.0,Travel_Rarely,Yes
142,Emp142,LN142,49,Female,Married,Sales,Sales Executive,16860,PhD,2020-12-20,Active,23.0,Travel_Rarely,Yes
143,Emp143,LN143,49,Female,Divorced,Human Resources,HR Specialist,16560,Associate's,2009-07-05,Terminated,69.0,Travel_Frequently,No
144,Emp144,LN144,22,Female,Single,Engineering,Data Engineer,8586,Bachelor's,2019-05-08,Leave of Absence,19.0,Non-Travel,Yes
145,Emp145,LN145,21,Female,Single,Customer Success,Support Associate,15354,Associate's,2020-07-17,Active,2.0,Travel_Frequently,No
146,Emp146,LN146,36,Female,Married,R&D,Lab Technician,8092,Bachelor's,2017-03-11,Active,89.0,Travel_Rarely,Yes
147,Emp147,LN147,39,Female,Divorced,Operations,Logistics Coordinator,8695,Master's,2021-07-29,Terminated,20.0,Non-Travel,Yes
148,Emp148,LN148,53,Female,Divorced,Finance,Finance Manager,5195,Associate's,2020-01-14,Terminated,24.0,Non-Travel,Yes
149,Emp149,LN149,31,Nonbinary,Divorced,Customer Success,Customer Success Manager,12694,Master's,2013-09-10,Active,136.0,Travel_Rarely,No
150,Emp150,LN150,38,Male,Divorced,Marketing,Brand Manager,13487,Master's,2016-08-23,Leave of Absence,144.0,Non-Travel,No
151,Emp151,LN151,59,Male,Married,Marketing,Marketing Analyst,6730,Master's,2010-01-02,Active,140.0,Travel_Rarely,No
152,Emp152,LN152,44,Nonbinary,Married,Marketing,SEO Specialist,18902,Master's,2013-11-16,Leave of Absence,37.0,Non-Travel,Yes
153,Emp153,LN153,26,Female,Divorced,Human Resources,Recruiter,19259,High School,2009-06-08,Terminated,112.0,Travel_Frequently,Yes
154,Emp154,LN154,60,Nonbinary,Married,Operations,Logistics Coordinator,19894,Associate's,2013-01-08,Active,9.0,Travel_Frequently,No
155,Emp155,LN155,50,Male,Single,Customer Success,Customer Success Manager,9113,Associate's,2014-07-08,Terminated,124.0,Non-Travel,Yes
156,Emp156,LN156,47,Nonbinary,Married,Marketing,Brand Manager,14850,PhD,2015-09-01,Active,83.0,Travel_Frequently,No
157,Emp157,LN157,53,Female,Single,Operations,Logistics Coordinator,9989,Associate's,2008-11-20,Terminated,91.0,Travel_Rarely,Yes
158,Emp158,LN158,40,Female,Married,Engineering,DevOps Engineer,5694,Master's,2021-11-27,Active,146.0,Travel_Rarely,Yes
159,Emp159,LN159,51,Female,Divorced,Human Resources,Recruiter,10998,Associate's,2014-12-29,Terminated,66.0,Non-Travel,Yes
160,Emp160,LN160,27,Male,Married,IT,Network Engineer,15550,Bachelor's,2009-07-14,Active,88.0,Non-Travel,No
161,Emp161,LN161,58,Male,Single,Customer Success,Support Associate,3361,Master's,2009-05-24,Leave of Absence,72.0,Travel_Frequently,Yes
162,Emp162,LN162,42,Female,Divorced,IT,Network Engineer,3358,High School,2013-03-15,Terminated,111.0,Travel_Rarely,Yes
163,Emp163,LN163,45,Male,Married,Human Resources,Recruiter,7719,Bachelor's,2013-07-14,Active,3.0,Travel_Frequently,No
164,Emp164,LN164,25,Male,Divorced,Finance,Finance Manager,8516,High School,2006-09-03,Terminated,32.0,Travel_Rarely,No
165,Emp165,LN165,40,Male,Single,IT,Network Engineer,11122,PhD,2015-01-07,Terminated,115.0,Travel_Frequently,Yes
166,Emp166,LN166,47,Male,Single,Engineering,Data Engineer,4994,High School,2008-06-16,Active,38.0,Non-Travel,No
167,Emp167,LN167,27,Female,Divorced,Customer Success,Support Associate,7872,Associate's,2020-12-13,Active,51.0,Travel_Frequently,Yes
168,Emp168,LN168,25,Nonbinary,Divorced,Marketing,Brand Manager,19017,PhD,2008-11-17,Terminated,82.0,Travel_Frequently,Yes
169,Emp169,LN169,35,Female,Married,Engineering,DevOps Engineer,4094,Master's,2011-11-26,Terminated,32.0,Travel_Rarely,No
170,Emp170,LN170,23,Male,Married,Engineering,Data Engineer,10071,High School,2015-07-25,Terminated,106.0,Non-Travel,Yes
171,Emp171,LN171,41,Male,Single,Operations,Logistics Coordinator,9131,Associate's,2018-12-10,Active,84.0,Non-Travel,No
172,Emp172,LN172,34,Male,Divorced,Sales,Sales Representative,16173,Bachelor's,2014-11-17,Active,131.0,Travel_Frequently,Yes
173,Emp173,LN173,37,Nonbinary,Married,Finance,Accountant,5224,Master's,2021-05-23,Active,111.0,Travel_Frequently,Yes
174,Emp174,LN174,41,Nonbinary,Single,Engineering,DevOps Engineer,18888,Associate's,2010-12-17,Terminated,50.0,Travel_Rarely,No
175,Emp175,LN175,40,Male,Divorced,Operations,Operations Analyst,12940,Bachelor's,2016-05-01,Leave of Absence,108.0,Non-Travel,No
176,Emp176,LN176,51,Nonbinary,Single,Customer Success,Support Associate,11098,Bachelor's,2020-09-07,Active,60.0,Travel_Frequently,Yes
177,Emp177,LN177,32,Nonbinary,Single,Engineering,Data Engineer,4815,Master's,2006-10-02,Leave of Absence,40.0,Travel_Rarely,Yes
178,Emp178,LN178,39,Female,Married,Finance,Accountant,14353,Master's,2022-07-25,Active,114.0,Non-Travel,Yes
179,Emp179,LN179,54,Nonbinary,Married,Finance,Finance Manager,4945,Master's,2021-05-07,Leave of Absence,4.0,Non-Travel,Yes
180,Emp180,LN180,60,Nonbinary,Married,Marketing,SEO Specialist,18824,Master's,2014-01-28,Leave of Absence,63.0,Travel_Frequently,Yes
181,Emp181,LN181,48,Nonbinary,Single,Customer Success,Support Associate,8916,Master's,2008-01-26,Leave of Absence,6.0,Travel_Frequently,No
182,Emp182,LN182,23,Male,Divorced,Finance,Finance Manager,8930,Bachelor's,2006-04-08,Terminated,91.0,Non-Travel,No
183,Emp183,LN183,20,Nonbinary,Divorced,Sales,Sales Executive,10019,High School,2021-12-06,Active,92.0,Non-Travel,Yes
184,Emp184,LN184,55,Male,Single,Engineering,DevOps Engineer,14888,Associate's,2020-04-22,Leave of Absence,107.0,Travel_Rarely,Yes
185,Emp185,LN185,22,Female,Divorced,Operations,Operations Analyst,15691,Bachelor's,2013-10-16,Leave of Absence,58.0,Travel_Frequently,Yes
186,Emp186,LN186,51,Female,Divorced,Finance,Finance Manager,8444,Bachelor's,2006-09-23,Terminated,143.0,Non-Travel,Yes
187,Emp187,LN187,60,Female,Divorced,Marketing,SEO Specialist,13233,Bachelor's,2010-09-09,Leave of Absence,145.0,Travel_Rarely,Yes
188,Emp188,LN188,45,Female,Divorced,Human Resources,HR Specialist,3885,Bachelor's,2006-02-21,Terminated,117.0,Travel_Rarely,No
189,Emp189,LN189,47,Male,Married,Customer Success,Customer Success Manager,17685,Associate's,2022-08-04,Terminated,41.0,Travel_Rarely,No
190,Emp190,LN190,40,Male,Single,Marketing,SEO Specialist,13142,Bachelor's,2022-06-07,Active,118.0,Travel_Frequently,No
191,Emp191,LN191,38,Female,Divorced,Engineering,Software Engineer,15211,High School,2019-01-15,Terminated,136.0,Travel_Frequently,No
192,Emp192,LN192,23,Nonbinary,Divorced,Engineering,Software Engineer,18880,PhD,2013-07-12,Active,9.0,Travel_Frequently,Yes
193,Emp193,LN193,46,Female,Married,Engineering,Software Engineer,16861,Bachelor's,2019-12-27,Terminated,2.0,Non-Travel,Yes
194,Emp194,LN194,21,Male,Divorced,Human Resources,HR Manager,18598,Associate's,2016-04-01,Leave of Absence,39.0,Non-Travel,No
195,Emp195,LN195,50,Nonbinary,Divorced,Customer Success,Customer Success Manager,15459,Master's,2009-05-28,Active,24.0,Non-Travel,Yes
196,Emp196,LN196,46,Female,Single,Marketing,Marketing Analyst,7876,Associate's,2012-08-05,Leave of Absence,12.0,Travel_Frequently,Yes
197,Emp197,LN197,38,Male,Married,Human Resources,HR Specialist,16035,Master's,2014-01-21,Leave of Absence,104.0,Travel_Frequently,Yes
198,Emp198,LN198,31,Female,Single,Engineering,DevOps Engineer,7876,Master's,2012-10-04,Leave of Absence,7.0,Travel_Frequently,No
199,Emp199,LN199,52,Male,Divorced,Operations,Logistics Coordinator,6771,Master's,2018-10-17,Terminated,93.0,Non-Travel,No
200,Emp200,LN200,27,Nonbinary,Married,Operations,Operations Analyst,10217,Associate's,2012-12-11,Terminated,22.0,Travel_Frequently,Yes
201,Emp201,LN201,23,Nonbinary,Single,Sales,Sales Executive,6515,PhD,2009-03-16,Terminated,63.0,Travel_Frequently,Yes
202,Emp202,LN202,25,Female,Married,Marketing,SEO Specialist,16555,Bachelor's,2013-06-29,Leave of Absence,22.0,Non-Travel,Yes
