employee_id,review_date,review_cycle,overall_rating,goals_score,manager_score,potential_rating,bonus_percentage,promotion_recommendation,year,quarter
16,2022-12-15,Annual,3,3.47,2.23,Medium,6,No,2022,4
16,2023-06-15,Mid-Year,2,2.25,1.77,Medium,3,Yes,2023,2
18,2021-12-15,Annual,3,2.44,2.14,Medium,6,No,2021,4
18,2022-06-15,Mid-Year,3,2.34,3.0,Medium,6,No,2022,2
18,2022-12-15,Annual,3,2.32,2.84,Medium,6,No,2022,4
18,2023-06-15,Mid-Year,3,2.43,2.28,High,6,No,2023,2
19,2021-12-15,Annual,3,2.81,3.0,Medium,6,No,2021,4
19,2022-06-15,Mid-Year,2,1.88,1.13,Low,3,No,2022,2
19,2022-12-15,Annual,3,1.96,2.41,Medium,6,No,2022,4
19,2023-06-15,Mid-Year,3,2.75,2.95,Medium,6,No,2023,2
20,2021-12-15,Annual,3,2.23,2.35,Medium,6,No,2021,4
20,2022-06-15,Mid-Year,4,3.78,2.86,Medium,10,No,2022,2
20,2022-12-15,Annual,3,2.08,2.84,Medium,6,Yes,2022,4
20,2023-06-15,Mid-Year,4,3.5,4.0,Medium,10,No,2023,2
21,2021-12-15,Annual,4,2.25,3.31,Medium,10,No,2021,4
21,2022-06-15,Mid-Year,3,1.89,2.78,Medium,6,No,2022,2
21,2022-12-15,Annual,3,2.27,2.42,Medium,6,No,2022,4
21,2023-06-15,Mid-Year,3,2.54,2.54,Medium,6,Yes,2023,2
22,2021-12-15,Annual,2,1.16,2.05,Medium,3,No,2021,4
22,2022-06-15,Mid-Year,3,2.66,2.91,Low,6,No,2022,2
22,2022-12-15,Annual,4,3.65,3.28,High,10,No,2022,4
22,2023-06-15,Mid-Year,3,3.04,2.17,Medium,6,No,2023,2
23,2021-12-15,Annual,1,1.0,1.27,Low,0,Yes,2021,4
23,2022-06-15,Mid-Year,3,3.19,1.76,Medium,6,No,2022,2
23,2022-12-15,Annual,4,3.91,3.88,Medium,10,No,2022,4
23,2023-06-15,Mid-Year,2,1.95,1.0,High,3,No,2023,2
24,2021-12-15,Annual,3,2.81,1.48,Medium,6,No,2021,4
24,2022-06-15,Mid-Year,3,1.69,2.81,Medium,6,Yes,2022,2
24,2022-12-15,Annual,3,2.52,2.81,Medium,6,No,2022,4
24,2023-06-15,Mid-Year,3,2.61,2.88,High,6,No,2023,2
26,2021-12-15,Annual,2,1.8,1.59,Medium,3,No,2021,4
26,2022-06-15,Mid-Year,4,3.21,2.59,Low,10,No,2022,2
26,2022-12-15,Annual,3,3.05,1.97,Medium,6,No,2022,4
26,2023-06-15,Mid-Year,3,2.24,2.75,Medium,6,Yes,2023,2
27,2021-12-15,Annual,2,1.9,1.0,Medium,3,No,2021,4
27,2022-06-15,Mid-Year,3,2.19,1.42,Medium,6,No,2022,2
27,2022-12-15,Annual,3,2.48,2.9,Low,6,No,2022,4
27,2023-06-15,Mid-Year,3,1.95,2.36,Medium,6,No,2023,2
28,2021-12-15,Annual,2,1.0,2.26,Medium,3,No,2021,4
28,2022-06-15,Mid-Year,3,2.78,2.11,High,6,No,2022,2
28,2022-12-15,Annual,2,1.9,1.08,Medium,3,No,2022,4
28,2023-06-15,Mid-Year,1,1.39,1.0,Medium,0,No,2023,2
30,2021-12-15,Annual,4,3.47,3.09,High,10,No,2021,4
30,2022-06-15,Mid-Year,4,3.6,2.61,Medium,10,No,2022,2
30,2022-12-15,Annual,3,2.65,3.32,Medium,6,No,2022,4
30,2023-06-15,Mid-Year,4,3.98,2.75,Medium,10,No,2023,2
31,2021-12-15,Annual,4,3.48,4.32,Medium,10,No,2021,4
31,2022-06-15,Mid-Year,2,1.59,2.25,Medium,3,No,2022,2
31,2022-12-15,Annual,3,1.3,2.57,Medium,6,No,2022,4
31,2023-06-15,Mid-Year,3,2.43,1.88,Medium,6,No,2023,2
32,2021-12-15,Annual,3,1.89,3.32,Medium,6,No,2021,4
32,2022-06-15,Mid-Year,3,2.62,1.71,Medium,6,No,2022,2
32,2022-12-15,Annual,4,2.99,3.48,Medium,10,No,2022,4
32,2023-06-15,Mid-Year,1,1.47,1.0,Low,0,No,2023,2
33,2021-12-15,Annual,3,3.31,2.15,Medium,6,No,2021,4
33,2022-06-15,Mid-Year,2,1.62,1.58,Medium,3,No,2022,2
33,2022-12-15,Annual,4,3.31,3.96,Medium,10,No,2022,4
33,2023-06-15,Mid-Year,4,3.03,3.7,High,10,No,2023,2
35,2021-12-15,Annual,3,2.21,2.07,Medium,6,No,2021,4
35,2022-06-15,Mid-Year,3,2.9,2.32,Medium,6,No,2022,2
35,2022-12-15,Annual,4,3.1,3.9,Medium,10,No,2022,4
35,2023-06-15,Mid-Year,5,4.21,4.55,Medium,15,No,2023,2
36,2021-12-15,Annual,4,2.77,3.69,Medium,10,No,2021,4
36,2022-06-15,Mid-Year,2,1.45,1.72,Low,3,No,2022,2
36,2022-12-15,Annual,3,2.63,2.42,Medium,6,No,2022,4
36,2023-06-15,Mid-Year,3,2.09,3.11,High,6,No,2023,2
38,2021-12-15,Annual,4,3.4,3.13,Medium,10,No,2021,4
38,2022-06-15,Mid-Year,4,3.49,2.54,Medium,10,No,2022,2
38,2022-12-15,Annual,3,2.76,3.11,Medium,6,No,2022,4
38,2023-06-15,Mid-Year,3,2.56,1.9,Medium,6,Yes,2023,2
39,2021-12-15,Annual,3,3.1,2.57,Medium,6,No,2021,4
39,2022-06-15,Mid-Year,3,2.52,2.76,Low,6,No,2022,2
39,2022-12-15,Annual,3,2.93,1.93,Medium,6,No,2022,4
39,2023-06-15,Mid-Year,3,3.1,3.27,Medium,6,No,2023,2
40,2021-12-15,Annual,3,2.42,1.76,Medium,6,No,2021,4
40,2022-06-15,Mid-Year,2,1.37,1.51,Low,3,No,2022,2
40,2022-12-15,Annual,4,3.07,2.72,Low,10,No,2022,4
40,2023-06-15,Mid-Year,2,2.53,2.78,High,3,Yes,2023,2
41,2021-12-15,Annual,3,2.23,2.49,Low,6,Yes,2021,4
41,2022-06-15,Mid-Year,2,1.0,1.65,High,3,No,2022,2
41,2022-12-15,Annual,4,3.13,2.9,Low,10,No,2022,4
41,2023-06-15,Mid-Year,3,1.95,2.39,Low,6,No,2023,2
42,2021-12-15,Annual,2,1.0,1.91,Medium,3,No,2021,4
42,2022-06-15,Mid-Year,5,4.44,3.29,Medium,15,No,2022,2
42,2022-12-15,Annual,2,1.93,1.39,Medium,3,No,2022,4
42,2023-06-15,Mid-Year,3,2.68,3.37,Medium,6,No,2023,2
45,2021-12-15,Annual,3,2.31,2.3,Medium,6,No,2021,4
45,2022-06-15,Mid-Year,3,2.38,1.31,Medium,6,Yes,2022,2
45,2022-12-15,Annual,2,1.34,2.08,Medium,3,No,2022,4
45,2023-06-15,Mid-Year,4,3.54,2.98,Medium,10,No,2023,2
46,2021-12-15,Annual,2,2.39,1.24,Medium,3,No,2021,4
46,2022-06-15,Mid-Year,3,2.23,2.36,Low,6,No,2022,2
46,2022-12-15,Annual,3,2.53,2.75,High,6,No,2022,4
46,2023-06-15,Mid-Year,3,2.66,2.59,Medium,6,No,2023,2
47,2021-12-15,Annual,3,3.02,2.71,Medium,6,No,2021,4
47,2022-06-15,Mid-Year,3,2.21,2.25,Medium,6,No,2022,2
47,2022-12-15,Annual,3,2.73,2.35,Medium,6,Yes,2022,4
47,2023-06-15,Mid-Year,3,2.74,1.3,Low,6,No,2023,2
49,2021-12-15,Annual,2,1.73,2.53,Medium,3,No,2021,4
49,2022-06-15,Mid-Year,3,2.48,2.09,Low,6,No,2022,2
49,2022-12-15,Annual,4,3.52,3.42,High,10,No,2022,4
49,2023-06-15,Mid-Year,4,3.06,3.9,High,10,No,2023,2
51,2021-12-15,Annual,3,2.6,1.64,Medium,6,No,2021,4
51,2022-06-15,Mid-Year,2,1.28,1.45,Low,3,No,2022,2
51,2022-12-15,Annual,3,2.6,3.11,Medium,6,No,2022,4
51,2023-06-15,Mid-Year,3,2.83,3.01,Medium,6,No,2023,2
52,2021-12-15,Annual,4,2.58,3.25,Medium,10,Yes,2021,4
52,2022-06-15,Mid-Year,2,1.42,1.23,Medium,3,No,2022,2
52,2022-12-15,Annual,2,1.43,2.22,Low,3,Yes,2022,4
52,2023-06-15,Mid-Year,3,2.74,3.17,Medium,6,Yes,2023,2
53,2021-12-15,Annual,3,1.6,2.62,Medium,6,No,2021,4
53,2022-06-15,Mid-Year,3,1.83,2.57,Low,6,No,2022,2
53,2022-12-15,Annual,1,1.0,1.16,High,0,No,2022,4
53,2023-06-15,Mid-Year,3,1.0,2.92,Low,6,No,2023,2
54,2021-12-15,Annual,4,3.16,2.77,Medium,10,No,2021,4
54,2022-06-15,Mid-Year,3,2.36,2.93,Medium,6,No,2022,2
54,2022-12-15,Annual,3,2.16,1.46,High,6,No,2022,4
54,2023-06-15,Mid-Year,4,3.52,3.02,Medium,10,No,2023,2
55,2021-12-15,Annual,3,2.62,2.93,High,6,No,2021,4
55,2022-06-15,Mid-Year,4,3.57,2.83,Medium,10,No,2022,2
55,2022-12-15,Annual,2,2.48,1.16,Medium,3,No,2022,4
55,2023-06-15,Mid-Year,2,1.76,2.26,Medium,3,No,2023,2
56,2021-12-15,Annual,3,3.55,2.07,Medium,6,No,2021,4
56,2022-06-15,Mid-Year,3,2.56,2.07,Medium,6,No,2022,2
56,2022-12-15,Annual,3,2.87,2.54,Medium,6,No,2022,4
56,2023-06-15,Mid-Year,3,2.81,1.93,High,6,No,2023,2
57,2021-12-15,Annual,2,1.67,1.58,Medium,3,No,2021,4
57,2022-06-15,Mid-Year,3,1.93,2.69,Medium,6,Yes,2022,2
57,2022-12-15,Annual,3,2.48,2.21,Medium,6,No,2022,4
57,2023-06-15,Mid-Year,5,4.43,3.64,High,15,No,2023,2
58,2021-12-15,Annual,3,1.91,3.1,Medium,6,No,2021,4
58,2022-06-15,Mid-Year,3,2.49,1.9,Medium,6,No,2022,2
58,2022-12-15,Annual,3,1.94,2.39,Medium,6,No,2022,4
58,2023-06-15,Mid-Year,3,2.46,1.93,Low,6,No,2023,2
60,2021-12-15,Annual,3,2.65,2.34,Medium,6,No,2021,4
60,2022-06-15,Mid-Year,3,2.23,2.25,Medium,6,No,2022,2
60,2022-12-15,Annual,3,2.22,1.84,Medium,6,No,2022,4
60,2023-06-15,Mid-Year,2,2.04,1.7,Medium,3,Yes,2023,2
61,2021-12-15,Annual,3,3.26,1.65,Medium,6,No,2021,4
61,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No,2022,2
61,2022-12-15,Annual,3,2.41,2.65,High,6,No,2022,4
61,2023-06-15,Mid-Year,4,3.14,3.25,Medium,10,No,2023,2
62,2021-12-15,Annual,2,1.55,2.06,Medium,3,Yes,2021,4
62,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No,2022,2
62,2022-12-15,Annual,4,3.13,2.87,High,10,No,2022,4
62,2023-06-15,Mid-Year,3,2.37,1.93,Medium,6,No,2023,2
63,2021-12-15,Annual,3,2.93,2.56,Medium,6,No,2021,4
63,2022-06-15,Mid-Year,4,3.02,3.56,High,10,Yes,2022,2
63,2022-12-15,Annual,3,2.39,2.06,Medium,6,No,2022,4
63,2023-06-15,Mid-Year,3,1.83,2.93,Medium,6,No,2023,2
64,2021-12-15,Annual,3,2.79,2.18,Low,6,No,2021,4
64,2022-06-15,Mid-Year,1,1.5,1.46,Medium,0,No,2022,2
64,2022-12-15,Annual,3,3.17,2.97,High,6,No,2022,4
64,2023-06-15,Mid-Year,3,2.66,3.55,Low,6,No,2023,2
65,2021-12-15,Annual,4,3.53,4.24,Medium,10,No,2021,4
65,2022-06-15,Mid-Year,2,1.75,1.91,Low,3,No,2022,2
65,2022-12-15,Annual,4,3.04,2.73,High,10,No,2022,4
65,2023-06-15,Mid-Year,3,2.01,2.66,Medium,6,No,2023,2
68,2021-12-15,Annual,4,3.48,3.64,Medium,10,No,2021,4
68,2022-06-15,Mid-Year,3,1.02,3.19,Medium,6,No,2022,2
68,2022-12-15,Annual,3,2.83,2.27,Medium,6,No,2022,4
68,2023-06-15,Mid-Year,3,2.22,2.07,Low,6,No,2023,2
70,2021-12-15,Annual,4,3.5,4.09,Medium,10,No,2021,4
70,2022-06-15,Mid-Year,3,2.04,3.27,High,6,No,2022,2
70,2022-12-15,Annual,2,1.38,1.25,Medium,3,No,2022,4
70,2023-06-15,Mid-Year,1,1.3,1.0,Medium,0,No,2023,2
72,2021-12-15,Annual,3,2.35,2.1,Medium,6,No,2021,4
72,2022-06-15,Mid-Year,3,2.5,2.08,Low,6,No,2022,2
72,2022-12-15,Annual,3,2.75,2.25,High,6,Yes,2022,4
72,2023-06-15,Mid-Year,3,2.76,2.25,Medium,6,No,2023,2
73,2021-12-15,Annual,4,2.71,3.09,Medium,10,Yes,2021,4
73,2022-06-15,Mid-Year,5,4.67,4.22,Medium,15,No,2022,2
73,2022-12-15,Annual,4,3.22,4.18,Medium,10,No,2022,4
73,2023-06-15,Mid-Year,2,1.94,1.52,Medium,3,No,2023,2
74,2021-12-15,Annual,2,1.24,2.31,High,3,Yes,2021,4
74,2022-06-15,Mid-Year,3,1.73,2.97,Medium,6,No,2022,2
74,2022-12-15,Annual,2,1.78,2.19,Low,3,Yes,2022,4
74,2023-06-15,Mid-Year,3,2.2,1.98,Medium,6,No,2023,2
75,2021-12-15,Annual,3,1.95,2.72,High,6,Yes,2021,4
75,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No,2022,2
75,2022-12-15,Annual,3,2.13,2.78,Medium,6,Yes,2022,4
75,2023-06-15,Mid-Year,2,1.69,1.88,Low,3,No,2023,2
76,2021-12-15,Annual,3,2.63,2.99,Medium,6,No,2021,4
76,2022-06-15,Mid-Year,3,2.55,2.39,High,6,No,2022,2
76,2022-12-15,Annual,3,2.06,1.94,Medium,6,No,2022,4
76,2023-06-15,Mid-Year,1,1.0,1.0,Medium,0,No,2023,2
77,2021-12-15,Annual,3,2.36,3.05,High,6,No,2021,4
77,2022-06-15,Mid-Year,3,2.6,2.68,High,6,No,2022,2
77,2022-12-15,Annual,4,4.05,3.41,High,10,No,2022,4
77,2023-06-15,Mid-Year,3,2.9,2.18,Low,6,No,2023,2
78,2021-12-15,Annual,2,1.75,1.75,High,3,No,2021,4
78,2022-06-15,Mid-Year,3,2.42,2.23,Low,6,No,2022,2
78,2022-12-15,Annual,1,1.0,1.21,Medium,0,No,2022,4
78,2023-06-15,Mid-Year,4,3.6,2.75,Medium,10,No,2023,2
79,2021-12-15,Annual,3,1.81,2.93,Medium,6,No,2021,4
79,2022-06-15,Mid-Year,3,1.97,1.8,Low,6,No,2022,2
79,2022-12-15,Annual,4,4.15,4.02,Medium,10,Yes,2022,4
79,2023-06-15,Mid-Year,4,2.92,4.38,Low,10,No,2023,2
80,2021-12-15,Annual,2,1.87,2.38,Medium,3,No,2021,4
80,2022-06-15,Mid-Year,3,2.93,3.53,Medium,6,Yes,2022,2
80,2022-12-15,Annual,2,1.49,2.33,Medium,3,No,2022,4
80,2023-06-15,Mid-Year,3,2.38,2.59,Low,6,No,2023,2
81,2021-12-15,Annual,3,1.92,2.57,High,6,No,2021,4
81,2022-06-15,Mid-Year,3,3.04,2.12,Medium,6,No,2022,2
81,2022-12-15,Annual,4,3.59,3.6,High,10,No,2022,4
81,2023-06-15,Mid-Year,4,2.4,3.67,Medium,10,No,2023,2
83,2021-12-15,Annual,4,3.72,3.98,Medium,10,No,2021,4
83,2022-06-15,Mid-Year,3,3.55,2.71,Medium,6,No,2022,2
83,2022-12-15,Annual,3,1.9,2.51,High,6,No,2022,4
83,2023-06-15,Mid-Year,3,1.99,2.81,Medium,6,Yes,2023,2
84,2021-12-15,Annual,3,2.16,1.85,High,6,No,2021,4
84,2022-06-15,Mid-Year,3,2.1,2.98,Medium,6,No,2022,2
84,2022-12-15,Annual,4,3.91,3.17,Medium,10,Yes,2022,4
84,2023-06-15,Mid-Year,3,2.73,2.57,Medium,6,No,2023,2
85,2021-12-15,Annual,2,1.76,2.09,High,3,No,2021,4
85,2022-06-15,Mid-Year,4,3.04,3.92,Medium,10,Yes,2022,2
85,2022-12-15,Annual,2,1.08,2.04,Medium,3,No,2022,4
85,2023-06-15,Mid-Year,4,3.22,2.92,High,10,No,2023,2
86,2021-12-15,Annual,3,2.65,2.63,Low,6,No,2021,4
86,2022-06-15,Mid-Year,3,2.86,3.23,Medium,6,No,2022,2
86,2022-12-15,Annual,4,3.38,4.28,Medium,10,No,2022,4
86,2023-06-15,Mid-Year,3,2.09,2.88,High,6,No,2023,2
88,2021-12-15,Annual,4,3.52,2.9,Low,10,No,2021,4
88,2022-06-15,Mid-Year,1,1.0,1.75,High,0,No,2022,2
88,2022-12-15,Annual,2,1.0,1.41,Low,3,No,2022,4
88,2023-06-15,Mid-Year,3,2.64,2.32,Low,6,No,2023,2
90,2021-12-15,Annual,2,1.64,1.69,Medium,3,No,2021,4
90,2022-06-15,Mid-Year,5,4.97,5.0,Medium,15,No,2022,2
90,2022-12-15,Annual,5,4.07,3.85,Medium,15,No,2022,4
90,2023-06-15,Mid-Year,3,1.87,2.26,Medium,6,No,2023,2
91,2021-12-15,Annual,3,2.28,2.69,Medium,6,No,2021,4
91,2022-06-15,Mid-Year,4,2.76,3.59,High,10,No,2022,2
91,2022-12-15,Annual,3,2.17,2.74,Medium,6,No,2022,4
91,2023-06-15,Mid-Year,3,2.37,3.44,Medium,6,No,2023,2
94,2021-12-15,Annual,4,2.83,3.28,Medium,10,No,2021,4
94,2022-06-15,Mid-Year,3,2.56,1.37,Low,6,No,2022,2
94,2022-12-15,Annual,1,1.48,1.04,Medium,0,No,2022,4
94,2023-06-15,Mid-Year,4,3.53,4.01,High,10,No,2023,2
95,2021-12-15,Annual,3,2.9,1.88,High,6,No,2021,4
95,2022-06-15,Mid-Year,5,3.84,4.48,High,15,No,2022,2
95,2022-12-15,Annual,3,2.6,2.04,High,6,No,2022,4
95,2023-06-15,Mid-Year,3,2.73,3.0,Medium,6,No,2023,2
96,2021-12-15,Annual,4,3.97,3.72,Medium,10,No,2021,4
96,2022-06-15,Mid-Year,3,1.85,3.09,Medium,6,No,2022,2
96,2022-12-15,Annual,4,3.75,2.55,Low,10,No,2022,4
96,2023-06-15,Mid-Year,3,2.72,1.75,Medium,6,Yes,2023,2
97,2021-12-15,Annual,3,2.41,3.04,Low,6,No,2021,4
97,2022-06-15,Mid-Year,3,1.76,2.15,Medium,6,No,2022,2
97,2022-12-15,Annual,3,2.49,2.53,High,6,No,2022,4
97,2023-06-15,Mid-Year,2,1.12,1.99,High,3,No,2023,2
98,2021-12-15,Annual,4,2.87,3.24,Low,10,No,2021,4
98,2022-06-15,Mid-Year,3,2.5,2.4,Medium,6,No,2022,2
98,2022-12-15,Annual,3,2.47,2.8,Medium,6,No,2022,4
98,2023-06-15,Mid-Year,2,1.93,1.6,High,3,No,2023,2
100,2021-12-15,Annual,3,2.68,2.96,Low,6,No,2021,4
100,2022-06-15,Mid-Year,2,1.63,2.09,Low,3,No,2022,2
100,2022-12-15,Annual,2,1.05,2.32,Medium,3,No,2022,4
100,2023-06-15,Mid-Year,3,1.97,2.23,High,6,No,2023,2
101,2021-12-15,Annual,3,2.1,3.11,Medium,6,No,2021,4
101,2022-06-15,Mid-Year,3,2.3,2.21,Medium,6,Yes,2022,2
101,2022-12-15,Annual,3,2.23,2.98,Medium,6,No,2022,4
101,2023-06-15,Mid-Year,3,2.01,2.52,Medium,6,No,2023,2
102,2021-12-15,Annual,4,2.98,2.96,Medium,10,No,2021,4
102,2022-06-15,Mid-Year,3,2.17,1.92,Low,6,No,2022,2
102,2022-12-15,Annual,2,1.93,1.9,Medium,3,No,2022,4
102,2023-06-15,Mid-Year,4,3.37,4.48,High,10,No,2023,2
103,2021-12-15,Annual,3,1.56,1.84,Medium,6,No,2021,4
103,2022-06-15,Mid-Year,3,3.65,2.48,High,6,No,2022,2
103,2022-12-15,Annual,3,2.29,2.36,Medium,6,No,2022,4
103,2023-06-15,Mid-Year,3,1.82,2.91,Medium,6,Yes,2023,2
104,2021-12-15,Annual,4,2.68,3.0,Medium,10,No,2021,4
104,2022-06-15,Mid-Year,2,1.7,2.45,Medium,3,No,2022,2
104,2022-12-15,Annual,2,1.65,1.55,Medium,3,No,2022,4
104,2023-06-15,Mid-Year,3,1.83,2.16,Medium,6,No,2023,2
105,2021-12-15,Annual,4,3.3,4.3,Medium,10,Yes,2021,4
105,2022-06-15,Mid-Year,2,1.37,2.27,Medium,3,No,2022,2
105,2022-12-15,Annual,3,2.22,2.67,Low,6,No,2022,4
105,2023-06-15,Mid-Year,4,2.94,2.91,Medium,10,No,2023,2
106,2021-12-15,Annual,3,2.5,2.7,Low,6,No,2021,4
106,2022-06-15,Mid-Year,3,2.07,2.88,Medium,6,No,2022,2
106,2022-12-15,Annual,2,1.79,1.0,Low,3,No,2022,4
106,2023-06-15,Mid-Year,4,3.23,3.84,Medium,10,No,2023,2
107,2021-12-15,Annual,2,1.48,2.29,Medium,3,No,2021,4
107,2022-06-15,Mid-Year,3,2.15,2.88,High,6,No,2022,2
107,2022-12-15,Annual,3,2.55,2.16,Low,6,No,2022,4
107,2023-06-15,Mid-Year,3,2.1,2.25,Medium,6,No,2023,2
110,2021-12-15,Annual,3,2.47,2.25,Medium,6,No,2021,4
110,2022-06-15,Mid-Year,4,3.42,3.93,Medium,10,No,2022,2
110,2022-12-15,Annual,2,1.65,1.89,Medium,3,No,2022,4
110,2023-06-15,Mid-Year,3,1.92,2.37,Medium,6,No,2023,2
112,2021-12-15,Annual,3,2.4,2.47,Medium,6,No,2021,4
112,2022-06-15,Mid-Year,4,2.98,2.1,Low,10,No,2022,2
112,2022-12-15,Annual,3,2.35,1.72,Low,6,No,2022,4
112,2023-06-15,Mid-Year,3,2.75,2.8,Medium,6,No,2023,2
113,2021-12-15,Annual,4,3.4,3.06,High,10,Yes,2021,4
113,2022-06-15,Mid-Year,3,2.33,2.69,Medium,6,No,2022,2
113,2022-12-15,Annual,2,1.7,1.35,Medium,3,No,2022,4
113,2023-06-15,Mid-Year,2,1.32,1.76,High,3,No,2023,2
116,2021-12-15,Annual,3,2.29,2.51,Medium,6,No,2021,4
116,2022-06-15,Mid-Year,2,1.22,2.01,Medium,3,Yes,2022,2
116,2022-12-15,Annual,2,1.0,1.0,Medium,3,No,2022,4
116,2023-06-15,Mid-Year,2,1.0,1.79,High,3,No,2023,2
117,2021-12-15,Annual,2,2.17,1.65,Medium,3,No,2021,4
117,2022-06-15,Mid-Year,4,2.69,4.15,High,10,No,2022,2
117,2022-12-15,Annual,2,1.56,1.96,Medium,3,Yes,2022,4
117,2023-06-15,Mid-Year,3,2.65,1.49,Medium,6,No,2023,2
118,2021-12-15,Annual,3,2.99,2.02,Medium,6,No,2021,4
118,2022-06-15,Mid-Year,4,3.38,3.33,Medium,10,No,2022,2
118,2022-12-15,Annual,3,2.58,2.8,Low,6,No,2022,4
118,2023-06-15,Mid-Year,5,4.01,4.8,Medium,15,No,2023,2
119,2021-12-15,Annual,3,2.51,3.15,Medium,6,No,2021,4
119,2022-06-15,Mid-Year,1,1.0,1.0,High,0,Yes,2022,2
119,2022-12-15,Annual,3,2.37,3.33,Medium,6,No,2022,4
119,2023-06-15,Mid-Year,2,1.42,1.81,Low,3,No,2023,2
120,2021-12-15,Annual,4,3.33,3.2,High,10,No,2021,4
120,2022-06-15,Mid-Year,3,2.59,2.98,Medium,6,No,2022,2
120,2022-12-15,Annual,5,3.88,4.52,High,15,No,2022,4
120,2023-06-15,Mid-Year,3,2.77,3.32,High,6,No,2023,2
121,2021-12-15,Annual,4,3.11,3.97,Medium,10,No,2021,4
121,2022-06-15,Mid-Year,3,2.9,1.84,Medium,6,No,2022,2
121,2022-12-15,Annual,4,2.62,3.46,Medium,10,No,2022,4
121,2023-06-15,Mid-Year,3,2.03,3.32,Medium,6,No,2023,2
124,2021-12-15,Annual,4,3.24,4.31,Medium,10,No,2021,4
