employee_id,review_date,review_cycle,overall_rating,goals_score,manager_score,potential_rating,bonus_percentage,promotion_recommendation
52,2023-06-15,Mid-Year,3,2.74,3.17,Medium,6,Yes
53,2021-12-15,Annual,3,1.6,2.62,Medium,6,No
53,2022-06-15,Mid-Year,3,1.83,2.57,Low,6,No
53,2022-12-15,Annual,1,1.0,1.16,High,0,No
53,2023-06-15,Mid-Year,3,1.0,2.92,Low,6,No
54,2021-12-15,Annual,4,3.16,2.77,Medium,10,No
54,2022-06-15,Mid-Year,3,2.36,2.93,Medium,6,No
54,2022-12-15,Annual,3,2.16,1.46,High,6,No
54,2023-06-15,Mid-Year,4,3.52,3.02,Medium,10,No
55,2021-12-15,Annual,3,2.62,2.93,High,6,No
55,2022-06-15,Mid-Year,4,3.57,2.83,Medium,10,No
55,2022-12-15,Annual,2,2.48,1.16,Medium,3,No
55,2023-06-15,Mid-Year,2,1.76,2.26,Medium,3,No
56,2021-12-15,Annual,3,3.55,2.07,Medium,6,No
56,2022-06-15,Mid-Year,3,2.56,2.07,Medium,6,No
56,2022-12-15,Annual,3,2.87,2.54,Medium,6,No
56,2023-06-15,Mid-Year,3,2.81,1.93,High,6,No
57,2021-12-15,Annual,2,1.67,1.58,Medium,3,No
57,2022-06-15,Mid-Year,3,1.93,2.69,Medium,6,Yes
57,2022-12-15,Annual,3,2.48,2.21,Medium,6,No
57,2023-06-15,Mid-Year,5,4.43,3.64,High,15,No
58,2021-12-15,Annual,3,1.91,3.1,Medium,6,No
58,2022-06-15,Mid-Year,3,2.49,1.9,Medium,6,No
58,2022-12-15,Annual,3,1.94,2.39,Medium,6,No
58,2023-06-15,Mid-Year,3,2.46,1.93,Low,6,No
60,2021-12-15,Annual,3,2.65,2.34,Medium,6,No
60,2022-06-15,Mid-Year,3,2.23,2.25,Medium,6,No
60,2022-12-15,Annual,3,2.22,1.84,Medium,6,No
60,2023-06-15,Mid-Year,2,2.04,1.7,Medium,3,Yes
61,2021-12-15,Annual,3,3.26,1.65,Medium,6,No
61,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No
61,2022-12-15,Annual,3,2.41,2.65,High,6,No
61,2023-06-15,Mid-Year,4,3.14,3.25,Medium,10,No
62,2021-12-15,Annual,2,1.55,2.06,Medium,3,Yes
62,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No
62,2022-12-15,Annual,4,3.13,2.87,High,10,No
62,2023-06-15,Mid-Year,3,2.37,1.93,Medium,6,No
63,2021-12-15,Annual,3,2.93,2.56,Medium,6,No
63,2022-06-15,Mid-Year,4,3.02,3.56,High,10,Yes
63,2022-12-15,Annual,3,2.39,2.06,Medium,6,No
63,2023-06-15,Mid-Year,3,1.83,2.93,Medium,6,No
64,2021-12-15,Annual,3,2.79,2.18,Low,6,No
64,2022-06-15,Mid-Year,1,1.5,1.46,Medium,0,No
64,2022-12-15,Annual,3,3.17,2.97,High,6,No
64,2023-06-15,Mid-Year,3,2.66,3.55,Low,6,No
65,2021-12-15,Annual,4,3.53,4.24,Medium,10,No
65,2022-06-15,Mid-Year,2,1.75,1.91,Low,3,No
65,2022-12-15,Annual,4,3.04,2.73,High,10,No
65,2023-06-15,Mid-Year,3,2.01,2.66,Medium,6,No
68,2021-12-15,Annual,4,3.48,3.64,Medium,10,No
68,2022-06-15,Mid-Year,3,1.02,3.19,Medium,6,No
68,2022-12-15,Annual,3,2.83,2.27,Medium,6,No
68,2023-06-15,Mid-Year,3,2.22,2.07,Low,6,No
70,2021-12-15,Annual,4,3.5,4.09,Medium,10,No
70,2022-06-15,Mid-Year,3,2.04,3.27,High,6,No
70,2022-12-15,Annual,2,1.38,1.25,Medium,3,No
70,2023-06-15,Mid-Year,1,1.3,1.0,Medium,0,No
72,2021-12-15,Annual,3,2.35,2.1,Medium,6,No
72,2022-06-15,Mid-Year,3,2.5,2.08,Low,6,No
72,2022-12-15,Annual,3,2.75,2.25,High,6,Yes
72,2023-06-15,Mid-Year,3,2.76,2.25,Medium,6,No
73,2021-12-15,Annual,4,2.71,3.09,Medium,10,Yes
73,2022-06-15,Mid-Year,5,4.67,4.22,Medium,15,No
73,2022-12-15,Annual,4,3.22,4.18,Medium,10,No
73,2023-06-15,Mid-Year,2,1.94,1.52,Medium,3,No
74,2021-12-15,Annual,2,1.24,2.31,High,3,Yes
74,2022-06-15,Mid-Year,3,1.73,2.97,Medium,6,No
74,2022-12-15,Annual,2,1.78,2.19,Low,3,Yes
74,2023-06-15,Mid-Year,3,2.2,1.98,Medium,6,No
75,2021-12-15,Annual,3,1.95,2.72,High,6,Yes
75,2022-06-15,Mid-Year,1,1.0,1.0,Medium,0,No
75,2022-12-15,Annual,3,2.13,2.78,Medium,6,Yes
75,2023-06-15,Mid-Year,2,1.69,1.88,Low,3,No
76,2021-12-15,Annual,3,2.63,2.99,Medium,6,No
76,2022-06-15,Mid-Year,3,2.55,2.39,High,6,No
76,2022-12-15,Annual,3,2.06,1.94,Medium,6,No
76,2023-06-15,Mid-Year,1,1.0,1.0,Medium,0,No
77,2021-12-15,Annual,3,2.36,3.05,High,6,No
77,2022-06-15,Mid-Year,3,2.6,2.68,High,6,No
77,2022-12-15,Annual,4,4.05,3.41,High,10,No
77,2023-06-15,Mid-Year,3,2.9,2.18,Low,6,No
78,2021-12-15,Annual,2,1.75,1.75,High,3,No
78,2022-06-15,Mid-Year,3,2.42,2.23,Low,6,No
78,2022-12-15,Annual,1,1.0,1.21,Medium,0,No
78,2023-06-15,Mid-Year,4,3.6,2.75,Medium,10,No
79,2021-12-15,Annual,3,1.81,2.93,Medium,6,No
79,2022-06-15,Mid-Year,3,1.97,1.8,Low,6,No
79,2022-12-15,Annual,4,4.15,4.02,Medium,10,Yes
79,2023-06-15,Mid-Year,4,2.92,4.38,Low,10,No
80,2021-12-15,Annual,2,1.87,2.38,Medium,3,No
80,2022-06-15,Mid-Year,3,2.93,3.53,Medium,6,Yes
80,2022-12-15,Annual,2,1.49,2.33,Medium,3,No
80,2023-06-15,Mid-Year,3,2.38,2.59,Low,6,No
81,2021-12-15,Annual,3,1.92,2.57,High,6,No
81,2022-06-15,Mid-Year,3,3.04,2.12,Medium,6,No
81,2022-12-15,Annual,4,3.59,3.6,High,10,No
81,2023-06-15,Mid-Year,4,2.4,3.67,Medium,10,No
83,2021-12-15,Annual,4,3.72,3.98,Medium,10,No
83,2022-06-15,Mid-Year,3,3.55,2.71,Medium,6,No
83,2022-12-15,Annual,3,1.9,2.51,High,6,No
83,2023-06-15,Mid-Year,3,1.99,2.81,Medium,6,Yes
84,2021-12-15,Annual,3,2.16,1.85,High,6,No
84,2022-06-15,Mid-Year,3,2.1,2.98,Medium,6,No
84,2022-12-15,Annual,4,3.91,3.17,Medium,10,Yes
84,2023-06-15,Mid-Year,3,2.73,2.57,Medium,6,No
85,2021-12-15,Annual,2,1.76,2.09,High,3,No
85,2022-06-15,Mid-Year,4,3.04,3.92,Medium,10,Yes
85,2022-12-15,Annual,2,1.08,2.04,Medium,3,No
85,2023-06-15,Mid-Year,4,3.22,2.92,High,10,No
86,2021-12-15,Annual,3,2.65,2.63,Low,6,No
86,2022-06-15,Mid-Year,3,2.86,3.23,Medium,6,No
86,2022-12-15,Annual,4,3.38,4.28,Medium,10,No
86,2023-06-15,Mid-Year,3,2.09,2.88,High,6,No
88,2021-12-15,Annual,4,3.52,2.9,Low,10,No
88,2022-06-15,Mid-Year,1,1.0,1.75,High,0,No
88,2022-12-15,Annual,2,1.0,1.41,Low,3,No
88,2023-06-15,Mid-Year,3,2.64,2.32,Low,6,No
90,2021-12-15,Annual,2,1.64,1.69,Medium,3,No
90,2022-06-15,Mid-Year,5,4.97,5.0,Medium,15,No
90,2022-12-15,Annual,5,4.07,3.85,Medium,15,No
90,2023-06-15,Mid-Year,3,1.87,2.26,Medium,6,No
91,2021-12-15,Annual,3,2.28,2.69,Medium,6,No
91,2022-06-15,Mid-Year,4,2.76,3.59,High,10,No
91,2022-12-15,Annual,3,2.17,2.74,Medium,6,No
91,2023-06-15,Mid-Year,3,2.37,3.44,Medium,6,No
94,2021-12-15,Annual,4,2.83,3.28,Medium,10,No
94,2022-06-15,Mid-Year,3,2.56,1.37,Low,6,No
94,2022-12-15,Annual,1,1.48,1.04,Medium,0,No
94,2023-06-15,Mid-Year,4,3.53,4.01,High,10,No
95,2021-12-15,Annual,3,2.9,1.88,High,6,No
95,2022-06-15,Mid-Year,5,3.84,4.48,High,15,No
95,2022-12-15,Annual,3,2.6,2.04,High,6,No
95,2023-06-15,Mid-Year,3,2.73,3.0,Medium,6,No
96,2021-12-15,Annual,4,3.97,3.72,Medium,10,No
96,2022-06-15,Mid-Year,3,1.85,3.09,Medium,6,No
96,2022-12-15,Annual,4,3.75,2.55,Low,10,No
96,2023-06-15,Mid-Year,3,2.72,1.75,Medium,6,Yes
97,2021-12-15,Annual,3,2.41,3.04,Low,6,No
97,2022-06-15,Mid-Year,3,1.76,2.15,Medium,6,No
97,2022-12-15,Annual,3,2.49,2.53,High,6,No
97,2023-06-15,Mid-Year,2,1.12,1.99,High,3,No
98,2021-12-15,Annual,4,2.87,3.24,Low,10,No
98,2022-06-15,Mid-Year,3,2.5,2.4,Medium,6,No
98,2022-12-15,Annual,3,2.47,2.8,Medium,6,No
98,2023-06-15,Mid-Year,2,1.93,1.6,High,3,No
100,2021-12-15,Annual,3,2.68,2.96,Low,6,No
100,2022-06-15,Mid-Year,2,1.63,2.09,Low,3,No
100,2022-12-15,Annual,2,1.05,2.32,Medium,3,No
100,2023-06-15,Mid-Year,3,1.97,2.23,High,6,No
101,2021-12-15,Annual,3,2.1,3.11,Medium,6,No
101,2022-06-15,Mid-Year,3,2.3,2.21,Medium,6,Yes
101,2022-12-15,Annual,3,2.23,2.98,Medium,6,No
101,2023-06-15,Mid-Year,3,2.01,2.52,Medium,6,No
102,2021-12-15,Annual,4,2.98,2.96,Medium,10,No
102,2022-06-15,Mid-Year,3,2.17,1.92,Low,6,No
102,2022-12-15,Annual,2,1.93,1.9,Medium,3,No
102,2023-06-15,Mid-Year,4,3.37,4.48,High,10,No
103,2021-12-15,Annual,3,1.56,1.84,Medium,6,No
103,2022-06-15,Mid-Year,3,3.65,2.48,High,6,No
103,2022-12-15,Annual,3,2.29,2.36,Medium,6,No
103,2023-06-15,Mid-Year,3,1.82,2.91,Medium,6,Yes
104,2021-12-15,Annual,4,2.68,3.0,Medium,10,No
104,2022-06-15,Mid-Year,2,1.7,2.45,Medium,3,No
104,2022-12-15,Annual,2,1.65,1.55,Medium,3,No
104,2023-06-15,Mid-Year,3,1.83,2.16,Medium,6,No
105,2021-12-15,Annual,4,3.3,4.3,Medium,10,Yes
105,2022-06-15,Mid-Year,2,1.37,2.27,Medium,3,No
105,2022-12-15,Annual,3,2.22,2.67,Low,6,No
105,2023-06-15,Mid-Year,4,2.94,2.91,Medium,10,No
106,2021-12-15,Annual,3,2.5,2.7,Low,6,No
106,2022-06-15,Mid-Year,3,2.07,2.88,Medium,6,No
106,2022-12-15,Annual,2,1.79,1.0,Low,3,No
106,2023-06-15,Mid-Year,4,3.23,3.84,Medium,10,No
107,2021-12-15,Annual,2,1.48,2.29,Medium,3,No
107,2022-06-15,Mid-Year,3,2.15,2.88,High,6,No
107,2022-12-15,Annual,3,2.55,2.16,Low,6,No
107,2023-06-15,Mid-Year,3,2.1,2.25,Medium,6,No
110,2021-12-15,Annual,3,2.47,2.25,Medium,6,No
110,2022-06-15,Mid-Year,4,3.42,3.93,Medium,10,No
110,2022-12-15,Annual,2,1.65,1.89,Medium,3,No
110,2023-06-15,Mid-Year,3,1.92,2.37,Medium,6,No
112,2021-12-15,Annual,3,2.4,2.47,Medium,6,No
112,2022-06-15,Mid-Year,4,2.98,2.1,Low,10,No
112,2022-12-15,Annual,3,2.35,1.72,Low,6,No
112,2023-06-15,Mid-Year,3,2.75,2.8,Medium,6,No
113,2021-12-15,Annual,4,3.4,3.06,High,10,Yes
113,2022-06-15,Mid-Year,3,2.33,2.69,Medium,6,No
113,2022-12-15,Annual,2,1.7,1.35,Medium,3,No
113,2023-06-15,Mid-Year,2,1.32,1.76,High,3,No
116,2021-12-15,Annual,3,2.29,2.51,Medium,6,No
116,2022-06-15,Mid-Year,2,1.22,2.01,Medium,3,Yes
116,2022-12-15,Annual,2,1.0,1.0,Medium,3,No
116,2023-06-15,Mid-Year,2,1.0,1.79,High,3,No
117,2021-12-15,Annual,2,2.17,1.65,Medium,3,No
117,2022-06-15,Mid-Year,4,2.69,4.15,High,10,No
117,2022-12-15,Annual,2,1.56,1.96,Medium,3,Yes
117,2023-06-15,Mid-Year,3,2.65,1.49,Medium,6,No
118,2021-12-15,Annual,3,2.99,2.02,Medium,6,No
118,2022-06-15,Mid-Year,4,3.38,3.33,Medium,10,No
118,2022-12-15,Annual,3,2.58,2.8,Low,6,No
118,2023-06-15,Mid-Year,5,4.01,4.8,Medium,15,No
119,2021-12-15,Annual,3,2.51,3.15,Medium,6,No
119,2022-06-15,Mid-Year,1,1.0,1.0,High,0,Yes
119,2022-12-15,Annual,3,2.37,3.33,Medium,6,No
119,2023-06-15,Mid-Year,2,1.42,1.81,Low,3,No
120,2021-12-15,Annual,4,3.33,3.2,High,10,No
120,2022-06-15,Mid-Year,3,2.59,2.98,Medium,6,No
120,2022-12-15,Annual,5,3.88,4.52,High,15,No
120,2023-06-15,Mid-Year,3,2.77,3.32,High,6,No
121,2021-12-15,Annual,4,3.11,3.97,Medium,10,No
121,2022-06-15,Mid-Year,3,2.9,1.84,Medium,6,No
121,2022-12-15,Annual,4,2.62,3.46,Medium,10,No
121,2023-06-15,Mid-Year,3,2.03,3.32,Medium,6,No
124,2021-12-15,Annual,4,3.24,4.31,Medium,10,No
124,2022-06-15,Mid-Year,5,4.44,3.46,High,15,No
124,2022-12-15,Annual,2,1.55,1.5,Medium,3,No
124,2023-06-15,Mid-Year,3,2.76,2.78,High,6,No
125,2021-12-15,Annual,4,2.9,3.53,Medium,10,No
125,2022-06-15,Mid-Year,3,2.52,2.55,Medium,6,No
125,2022-12-15,Annual,4,2.99,3.13,High,10,No
125,2023-06-15,Mid-Year,3,2.72,3.26,High,6,No
126,2021-12-15,Annual,2,1.78,2.62,Low,3,No
126,2022-06-15,Mid-Year,3,1.79,2.31,Medium,6,No
126,2022-12-15,Annual,3,2.47,2.49,Medium,6,No
126,2023-06-15,Mid-Year,3,1.8,2.12,Medium,6,No
128,2021-12-15,Annual,3,2.09,2.45,Medium,6,No
128,2022-06-15,Mid-Year,3,2.89,2.31,Low,6,No
128,2022-12-15,Annual,3,2.43,2.32,Medium,6,Yes
128,2023-06-15,Mid-Year,5,3.52,4.7,Medium,15,No
129,2021-12-15,Annual,3,2.26,2.51,High,6,No
129,2022-06-15,Mid-Year,3,2.6,2.58,Medium,6,No
129,2022-12-15,Annual,3,2.65,1.78,Medium,6,No
129,2023-06-15,Mid-Year,4,3.69,3.88,Medium,10,No
131,2021-12-15,Annual,3,3.12,3.07,Low,6,No
131,2022-06-15,Mid-Year,3,2.49,3.04,High,6,No
131,2022-12-15,Annual,3,2.71,2.74,Medium,6,Yes
131,2023-06-15,Mid-Year,3,2.83,2.36,High,6,No
132,2021-12-15,Annual,3,2.72,2.6,High,6,No
132,2022-06-15,Mid-Year,3,2.29,2.1,Medium,6,No
132,2022-12-15,Annual,2,1.45,1.34,High,3,No
132,2023-06-15,Mid-Year,3,2.48,3.47,Medium,6,No
133,2021-12-15,Annual,3,2.81,1.86,High,6,No
133,2022-06-15,Mid-Year,3,2.14,2.25,High,6,No
133,2022-12-15,Annual,1,1.0,1.69,Medium,0,No
133,2023-06-15,Mid-Year,4,2.6,2.95,Medium,10,No
134,2021-12-15,Annual,3,2.52,2.2,High,6,No
134,2022-06-15,Mid-Year,3,2.65,2.75,Medium,6,No
134,2022-12-15,Annual,3,2.27,2.28,High,6,Yes
134,2023-06-15,Mid-Year,4,3.8,2.32,Medium,10,No
137,2021-12-15,Annual,3,1.83,2.44,High,6,No
137,2022-06-15,Mid-Year,3,1.71,3.29,Low,6,No
137,2022-12-15,Annual,1,1.0,1.0,Medium,0,No
137,2023-06-15,Mid-Year,5,4.16,3.48,Medium,15,No
138,2021-12-15,Annual,3,2.26,1.64,Medium,6,No
138,2022-06-15,Mid-Year,3,2.2,3.21,Low,6,No
138,2022-12-15,Annual,4,3.22,3.17,High,10,No
138,2023-06-15,Mid-Year,3,2.42,2.26,Medium,6,Yes
139,2021-12-15,Annual,5,4.36,4.4,Medium,15,No
139,2022-06-15,Mid-Year,4,2.78,3.33,Medium,10,No
139,2022-12-15,Annual,3,2.72,3.1,Low,6,No
139,2023-06-15,Mid-Year,3,2.24,2.68,Medium,6,No
140,2021-12-15,Annual,2,1.5,2.34,Low,3,No
140,2022-06-15,Mid-Year,4,3.32,2.87,High,10,No
140,2022-12-15,Annual,3,2.12,2.31,Medium,6,No
140,2023-06-15,Mid-Year,3,2.65,2.39,Medium,6,No
141,2021-12-15,Annual,4,3.49,3.69,Medium,10,No
141,2022-06-15,Mid-Year,4,3.38,2.98,Medium,10,No
141,2022-12-15,Annual,4,2.67,3.45,Medium,10,Yes
141,2023-06-15,Mid-Year,3,2.6,2.76,Low,6,No
142,2021-12-15,Annual,4,3.12,3.39,High,10,No
142,2022-06-15,Mid-Year,3,2.64,2.42,Medium,6,No
142,2022-12-15,Annual,4,2.88,2.69,Medium,10,No
142,2023-06-15,Mid-Year,4,3.29,3.85,Medium,10,No
